iter	MultiClass
0	3.805456625
1	3.658407089
2	3.543647644
3	3.456634775
4	3.38734037
5	3.333163846
6	3.28147617
7	3.236866864
8	3.199871461
9	3.16561182
10	3.135314865
11	3.109715102
12	3.086085252
13	3.065156154
14	3.046630689
15	3.029796607
16	3.014425247
17	2.999776543
18	2.988696964
19	2.976781196
20	2.964547535
21	2.953845664
22	2.944074202
23	2.935434417
24	2.926423657
25	2.918346787
26	2.911585436
27	2.904645846
28	2.897800938
29	2.89073399
30	2.884279521
31	2.877840418
32	2.872769837
33	2.867645637
34	2.86315322
35	2.858655064
36	2.854402532
37	2.849215904
38	2.845365494
39	2.839528497
40	2.836050086
41	2.832536236
42	2.828578131
43	2.824345665
44	2.819973243
45	2.81478754
46	2.809555395
47	2.80454641
48	2.801146345
49	2.797945872
50	2.794237649
51	2.790779195
52	2.787552528
53	2.784945146
54	2.779773569
55	2.775453489
56	2.770885788
57	2.76833429
58	2.764457839
59	2.760758393
60	2.758044408
61	2.75365115
62	2.750660352
63	2.748049664
64	2.744232643
65	2.741560211
66	2.738956303
67	2.735722604
68	2.731914769
69	2.730000864
70	2.726799821
71	2.72347031
72	2.719453864
73	2.716783265
74	2.714235001
75	2.712301209
76	2.708873218
77	2.703951674
78	2.699712758
79	2.696622049
80	2.694838634
81	2.691900792
82	2.688799442
83	2.686145252
84	2.68193374
85	2.679423041
86	2.67655933
87	2.672076455
88	2.669972204
89	2.667969087
90	2.665963134
91	2.662620752
92	2.660928252
93	2.658459567
94	2.65606874
95	2.653893523
96	2.65046281
97	2.647746127
98	2.645744492
99	2.642478336
