iter	Passed	Remaining
0	204	20241
1	265	13006
2	325	10529
3	386	9274
4	436	8301
5	506	7938
6	545	7252
7	586	6740
8	623	6303
9	681	6136
10	742	6011
11	782	5736
12	822	5503
13	871	5351
14	910	5162
15	948	4981
16	988	4824
17	1028	4686
18	1068	4553
19	1112	4450
20	1151	4330
21	1206	4277
22	1259	4215
23	1303	4126
24	1347	4043
25	1388	3951
26	1432	3874
27	1476	3795
28	1519	3720
29	1562	3646
30	1603	3569
31	1643	3492
32	1687	3426
33	1729	3357
34	1769	3286
35	1813	3223
36	1860	3168
37	1900	3101
38	1941	3036
39	1981	2971
40	2022	2910
41	2061	2846
42	2103	2787
43	2142	2726
44	2181	2665
45	2220	2606
46	2259	2547
47	2303	2495
48	2342	2438
49	2381	2381
50	2423	2328
51	2463	2273
52	2502	2219
53	2542	2166
54	2581	2112
55	2621	2059
56	2661	2008
57	2702	1956
58	2741	1905
59	2780	1853
60	2820	1803
61	2859	1752
62	2901	1703
63	2943	1655
64	2983	1606
65	3022	1557
66	3062	1508
67	3102	1460
68	3142	1411
69	3182	1364
70	3225	1317
71	3265	1269
72	3306	1222
73	3349	1177
74	3390	1130
75	3431	1083
76	3473	1037
77	3513	991
78	3554	944
79	3591	897
80	3635	852
81	3679	807
82	3738	765
83	3779	719
84	3819	674
85	3861	628
86	3903	583
87	3956	539
88	3995	493
89	4040	448
90	4103	405
91	4166	362
92	4209	316
93	4254	271
94	4301	226
95	4342	180
96	4381	135
97	4421	90
98	4479	45
99	4520	0
