season,location,matchday_nr,home_team_name,away_team_name,goals_home,goals_away,draw,win_home,win_away,away_team_id,home_team_id,date,time
2005-2006,München,1.0,FC Bayern München,Borussia Mönchengladbach,3,0,0.0,1.0,0.0,87.0,40.0,2005-08-05,20:30:00
2005-2006,Köln,1.0,1. FC Köln,1. FSV Mainz 05,1,0,0.0,1.0,0.0,81.0,65.0,2005-08-06,15:30:00
2005-2006,Duisburg,1.0,MSV Duisburg,VfB Stuttgart,1,1,1.0,0.0,0.0,16.0,107.0,2005-08-06,15:30:00
2005-2006,Hamburg,1.0,Hamburger SV,1. FC Nürnberg,3,0,0.0,1.0,0.0,79.0,100.0,2005-08-06,15:30:00
2005-2006,Wolfsburg,1.0,VfL Wolfsburg,Borussia Dortmund,2,2,1.0,0.0,0.0,7.0,131.0,2005-08-06,15:30:00
2005-2006,Bremen,1.0,Werder Bremen,Arminia Bielefeld,5,2,0.0,1.0,0.0,83.0,134.0,2005-08-06,15:30:00
2005-2006,Hannover,1.0,Hannover 96,Hertha BSC,2,2,1.0,0.0,0.0,54.0,55.0,2005-08-06,15:30:00
2005-2006,Gelsenkirchen,1.0,FC Schalke 04,1. FC Kaiserslautern,2,1,0.0,1.0,0.0,76.0,9.0,2005-08-07,17:30:00
2005-2006,Frankfurt,1.0,Eintracht Frankfurt,Bayer Leverkusen,1,4,0.0,0.0,1.0,6.0,91.0,2005-08-07,17:30:00
2005-2006,Leverkusen,2.0,Bayer Leverkusen,FC Bayern München,2,5,0.0,0.0,1.0,40.0,6.0,2005-08-13,15:30:00
2005-2006,Gladbach,2.0,Borussia Mönchengladbach,VfL Wolfsburg,1,1,1.0,0.0,0.0,131.0,87.0,2005-08-13,15:30:00
2005-2006,Dortmund,2.0,Borussia Dortmund,FC Schalke 04,1,2,0.0,0.0,1.0,9.0,7.0,2005-08-13,15:30:00
2005-2006,Berlin,2.0,Hertha BSC,Eintracht Frankfurt,2,0,0.0,1.0,0.0,91.0,54.0,2005-08-13,15:30:00
2005-2006,Kaiserslautern,2.0,1. FC Kaiserslautern,MSV Duisburg,5,3,0.0,1.0,0.0,107.0,76.0,2005-08-13,15:30:00
2005-2006,Nürnberg,2.0,1. FC Nürnberg,Hannover 96,1,1,1.0,0.0,0.0,55.0,79.0,2005-08-13,15:30:00
2005-2006,Bielefeld,2.0,Arminia Bielefeld,Hamburger SV,0,2,0.0,0.0,1.0,100.0,83.0,2005-08-13,15:30:00
2005-2006,Stuttgart,2.0,VfB Stuttgart,1. FC Köln,2,3,0.0,0.0,1.0,65.0,16.0,2005-08-14,17:30:00
2005-2006,Mainz,2.0,1. FSV Mainz 05,Werder Bremen,0,2,0.0,0.0,1.0,134.0,81.0,2005-08-14,17:30:00
2005-2006,Köln,3.0,1. FC Köln,1. FC Kaiserslautern,2,3,0.0,0.0,1.0,76.0,65.0,2005-08-27,15:30:00
2005-2006,Gelsenkirchen,3.0,FC Schalke 04,Borussia Mönchengladbach,1,1,1.0,0.0,0.0,87.0,9.0,2005-08-27,15:30:00
2005-2006,Hamburg,3.0,Hamburger SV,Hannover 96,1,1,1.0,0.0,0.0,55.0,100.0,2005-08-27,15:30:00
2005-2006,Wolfsburg,3.0,VfL Wolfsburg,Bayer Leverkusen,2,1,0.0,1.0,0.0,6.0,131.0,2005-08-27,15:30:00
2005-2006,Bremen,3.0,Werder Bremen,VfB Stuttgart,1,1,1.0,0.0,0.0,16.0,134.0,2005-08-27,15:30:00
2005-2006,München,3.0,FC Bayern München,Hertha BSC,3,0,0.0,1.0,0.0,54.0,40.0,2005-08-27,15:30:00
2005-2006,Frankfurt,3.0,Eintracht Frankfurt,1. FC Nürnberg,1,0,0.0,1.0,0.0,79.0,91.0,2005-08-27,15:30:00
2005-2006,Duisburg,3.0,MSV Duisburg,Borussia Dortmund,1,1,1.0,0.0,0.0,7.0,107.0,2005-08-28,17:30:00
2005-2006,Bielefeld,3.0,Arminia Bielefeld,1. FSV Mainz 05,2,0,0.0,1.0,0.0,81.0,83.0,2005-08-28,17:30:00
2005-2006,Leverkusen,4.0,Bayer Leverkusen,FC Schalke 04,1,1,1.0,0.0,0.0,9.0,6.0,2005-09-10,15:30:00
2005-2006,Gladbach,4.0,Borussia Mönchengladbach,MSV Duisburg,2,1,0.0,1.0,0.0,107.0,87.0,2005-09-10,15:30:00
2005-2006,Kaiserslautern,4.0,1. FC Kaiserslautern,Werder Bremen,1,5,0.0,0.0,1.0,134.0,76.0,2005-09-10,15:30:00
2005-2006,Nürnberg,4.0,1. FC Nürnberg,FC Bayern München,1,2,0.0,0.0,1.0,40.0,79.0,2005-09-10,15:30:00
2005-2006,Stuttgart,4.0,VfB Stuttgart,Arminia Bielefeld,1,1,1.0,0.0,0.0,83.0,16.0,2005-09-10,15:30:00
2005-2006,Mainz,4.0,1. FSV Mainz 05,Hamburger SV,1,3,0.0,0.0,1.0,100.0,81.0,2005-09-10,15:30:00
