,matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner
0,1,1963-08-24,Werder Bremen,3-2,Borussia Dortmund,3,2,home
1,1,1963-08-24,1. FC Saarbrücken,0-2,1. FC Köln,0,2,away
2,1,1963-08-24,TSV 1860 München,1-1,Eintracht Braunschweig,1,1,draw
3,1,1963-08-24,Eintracht Frankfurt,1-1,1. FC Kaiserslautern,1,1,draw
4,1,1963-08-24,FC Schalke 04,2-0,VfB Stuttgart,2,0,home
5,1,1963-08-24,Preussen Münster,1-1,Hamburger SV,1,1,draw
6,1,1963-08-24,Karlsruher SC,1-4,MSV Duisburg,1,4,away
7,1,1963-08-24,Hertha BSC,1-1,1. FC Nürnberg,1,1,draw
8,2,1963-08-31,Eintracht Braunschweig,1-0,Preussen Münster,1,0,home
9,2,1963-08-31,MSV Duisburg,3-1,Eintracht Frankfurt,3,1,home
10,2,1963-08-31,VfB Stuttgart,2-0,Hertha BSC,2,0,home
11,2,1963-08-31,1. FC Kaiserslautern,2-3,FC Schalke 04,2,3,away
12,2,1963-08-31,Borussia Dortmund,3-3,TSV 1860 München,3,3,draw
13,2,1963-08-31,1. FC Nürnberg,3-0,Werder Bremen,3,0,home
14,2,1963-08-31,Hamburger SV,4-2,1. FC Saarbrücken,4,2,home
15,2,1963-08-31,1. FC Köln,4-0,Karlsruher SC,4,0,home
16,3,1963-09-07,Hertha BSC,2-2,1. FC Kaiserslautern,2,2,draw
17,3,1963-09-07,1. FC Saarbrücken,2-2,Eintracht Braunschweig,2,2,draw
18,3,1963-09-07,Preussen Münster,4-2,MSV Duisburg,4,2,home
19,3,1963-09-07,Werder Bremen,2-2,VfB Stuttgart,2,2,draw
20,3,1963-09-07,TSV 1860 München,1-3,1. FC Köln,1,3,away
21,3,1963-09-07,Eintracht Frankfurt,2-3,1. FC Nürnberg,2,3,away
22,3,1963-09-07,Karlsruher SC,0-4,Hamburger SV,0,4,away
23,3,1963-09-07,FC Schalke 04,3-1,Borussia Dortmund,3,1,home
24,4,1963-09-14,MSV Duisburg,1-3,Hertha BSC,1,3,away
25,4,1963-09-14,1. FC Köln,2-2,FC Schalke 04,2,2,draw
26,4,1963-09-14,1. FC Nürnberg,2-2,Preussen Münster,2,2,draw
27,4,1963-09-14,Borussia Dortmund,2-1,1. FC Saarbrücken,2,1,home
28,4,1963-09-14,Hamburger SV,3-0,Eintracht Frankfurt,3,0,home
29,4,1963-09-14,VfB Stuttgart,1-1,TSV 1860 München,1,1,draw
30,4,1963-09-14,1. FC Kaiserslautern,3-0,Werder Bremen,3,0,home
31,4,1963-09-14,Eintracht Braunschweig,2-0,Karlsruher SC,2,0,home
32,5,1963-09-21,Eintracht Frankfurt,3-0,Eintracht Braunschweig,3,0,home
33,5,1963-09-21,Werder Bremen,1-1,MSV Duisburg,1,1,draw
34,5,1963-09-21,TSV 1860 München,3-0,1. FC Kaiserslautern,3,0,home
35,5,1963-09-21,Karlsruher SC,1-3,Borussia Dortmund,1,3,away
36,5,1963-09-21,Preussen Münster,4-2,VfB Stuttgart,4,2,home
37,5,1963-09-21,1. FC Saarbrücken,3-5,1. FC Nürnberg,3,5,away
38,5,1963-09-21,FC Schalke 04,1-0,Hamburger SV,1,0,home
39,5,1963-09-21,Hertha BSC,0-3,1. FC Köln,0,3,away
40,6,1963-10-05,Eintracht Braunschweig,4-3,FC Schalke 04,4,3,home
41,6,1963-10-05,Hamburger SV,5-1,Hertha BSC,5,1,home
42,6,1963-10-05,1. FC Nürnberg,2-4,Karlsruher SC,2,4,away
43,6,1963-10-05,VfB Stuttgart,3-1,1. FC Saarbrücken,3,1,home
44,6,1963-10-05,Borussia Dortmund,3-0,Eintracht Frankfurt,3,0,home
45,6,1963-10-05,1. FC Kaiserslautern,0-0,Preussen Münster,0,0,draw
46,6,1963-10-05,1. FC Köln,4-3,Werder Bremen,4,3,home
47,6,1963-10-05,MSV Duisburg,3-0,TSV 1860 München,3,0,home
48,7,1963-10-12,Eintracht Frankfurt,2-1,1. FC Köln,2,1,home
49,7,1963-10-12,Hertha BSC,1-2,Eintracht Braunschweig,1,2,away
50,7,1963-10-12,TSV 1860 München,5-0,1. FC Nürnberg,5,0,home
51,7,1963-10-12,Karlsruher SC,0-3,VfB Stuttgart,0,3,away
52,7,1963-10-12,FC Schalke 04,2-2,MSV Duisburg,2,2,draw
53,7,1963-10-12,1. FC Saarbrücken,2-4,1. FC Kaiserslautern,2,4,away
54,7,1963-10-12,Werder Bremen,4-2,Hamburger SV,4,2,home
55,7,1963-10-12,Preussen Münster,1-2,Borussia Dortmund,1,2,away
56,8,1963-10-19,Eintracht Braunschweig,1-1,Werder Bremen,1,1,draw
57,8,1963-10-19,Borussia Dortmund,7-2,Hertha BSC,7,2,home
58,8,1963-10-19,1. FC Kaiserslautern,1-0,Karlsruher SC,1,0,home
59,8,1963-10-19,MSV Duisburg,3-1,1. FC Saarbrücken,3,1,home
60,8,1963-10-19,1. FC Köln,3-0,Preussen Münster,3,0,home
61,8,1963-10-19,1. FC Nürnberg,0-2,FC Schalke 04,0,2,away
62,8,1963-10-19,Hamburger SV,5-0,TSV 1860 München,5,0,home
63,8,1963-10-19,VfB Stuttgart,0-0,Eintracht Frankfurt,0,0,draw
64,9,1963-10-26,1. FC Saarbrücken,1-3,Karlsruher SC,1,3,away
65,9,1963-10-26,Hertha BSC,1-3,Eintracht Frankfurt,1,3,away
66,9,1963-10-26,1. FC Nürnberg,0-5,1. FC Kaiserslautern,0,5,away
67,9,1963-10-26,1. FC Köln,3-3,MSV Duisburg,3,3,draw
68,9,1963-10-26,Preussen Münster,0-0,TSV 1860 München,0,0,draw
69,9,1963-10-26,FC Schalke 04,2-3,Werder Bremen,2,3,away
70,9,1963-10-26,VfB Stuttgart,2-1,Borussia Dortmund,2,1,home
71,9,1963-10-26,Hamburger SV,2-1,Eintracht Braunschweig,2,1,home
72,10,1963-11-08,Eintracht Braunschweig,1-1,1. FC Köln,1,1,draw
73,10,1963-11-09,Karlsruher SC,4-2,Preussen Münster,4,2,home
74,10,1963-11-09,Borussia Dortmund,3-1,1. FC Nürnberg,3,1,home
75,10,1963-11-09,Eintracht Frankfurt,4-2,FC Schalke 04,4,2,home
76,10,1963-11-09,MSV Duisburg,4-0,Hamburger SV,4,0,home
77,10,1963-11-09,1. FC Kaiserslautern,1-3,VfB Stuttgart,1,3,away
