matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_form,away_form,home_goals_last_5,home_conceded_last_5,away_goals_last_5,away_conceded_last_5,home_goal_diff_last_5,away_goal_diff_last_5,goal_diff_last_5,home_h2h_wins,away_h2h_wins,h2h_draws,home_h2h_goals_scored,away_h2h_goals_scored,home_off,home_def,away_off,away_def,home_goals_exp,away_goals_exp
1,1963-08-24,55,3-2,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
1,1963-08-24,4,0-2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
1,1963-08-24,49,1-1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
1,1963-08-24,17,1-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
1,1963-08-24,22,2-0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
1,1963-08-24,34,1-1,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
1,1963-08-24,31,1-4,34,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
1,1963-08-24,29,1-1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,16,1-0,35,1,0,0,0,1,0,0,1,0,1,1,3,6,0,0,-3,0,-3,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,33,3-1,18,3,1,0,1,0,0,0,1,0,3,1,6,4,6,13,2,-7,9,1,0,0,2,1,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,52,2-0,30,2,0,0,0,0,1,0,1,0,0,1,14,8,9,9,6,0,6,1,0,0,3,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,1,2-3,23,2,3,2,0,1,0,1,0,0,1,3,1,4,2,14,-3,-12,9,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,13,3-3,50,3,3,1,0,0,1,0,1,0,0,1,10,2,7,9,8,-2,10,1,0,0,4,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,3,3-0,56,3,0,0,0,1,0,1,0,0,1,3,0,0,5,11,0,-6,6,0,0,1,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,26,4-2,4,4,2,0,0,1,0,0,0,1,1,0,5,4,1,5,1,-4,5,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
2,1963-08-31,2,4-0,32,4,0,0,1,0,0,0,0,1,3,0,8,5,7,9,3,-2,5,0,0,0,0,0,0.0,0.0,0.0,0.0,2.894310631722396,1.8221352174562009
3,1963-09-07,29,2-2,1,2,2,1,0,1,1,0,1,1,1,1,4,9,3,3,-5,0,-5,1,1,0,5,6,-1.0418955824988267,-0.2430082616967859,-0.5261396627887875,-1.75015032037593,2.7980346391757265,1.7760332016601086
3,1963-09-07,4,2-2,17,2,2,1,0,0,2,1,1,0,0,4,6,4,0,0,2,0,2,0,1,0,0,4,-0.4918825249510862,-0.5385901277171795,0.1138276462589088,0.0976462247816206,2.8807819989998564,1.79661131342951
3,1963-09-07,34,4-2,34,4,2,0,0,1,1,2,0,0,1,6,0,0,9,14,0,-5,5,0,0,0,0,0,-1.0418955824988267,0.6437373363643949,-0.5261396627887875,-1.75015032037593,2.7980346391757265,1.8292289712475656
