,Unnamed: 0,matchday,date,home_team,final_result,away_team,home_goals,away_goals,winner,home_off,home_def,away_off,away_def,home_goals_exp,away_goals_exp
0,0,1,1963-08-24,Werder Bremen,3-2,Borussia Dortmund,3,2,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
1,1,1,1963-08-24,1. FC Saarbrücken,0-2,1. FC Köln,0,2,2,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
2,2,1,1963-08-24,TSV 1860 München,1-1,Eintracht Braunschweig,1,1,1,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
3,3,1,1963-08-24,Eintracht Frankfurt,1-1,1. FC Kaiserslautern,1,1,1,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
4,4,1,1963-08-24,FC Schalke 04,2-0,VfB Stuttgart,2,0,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
5,5,1,1963-08-24,Preussen Münster,1-1,Hamburger SV,1,1,1,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
6,6,1,1963-08-24,Karlsruher SC,1-4,MSV Duisburg,1,4,2,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
7,7,1,1963-08-24,Hertha BSC,1-1,1. FC Nürnberg,1,1,1,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
8,15,2,1963-08-31,1. FC Köln,4-0,Karlsruher SC,4,0,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
9,14,2,1963-08-31,Hamburger SV,4-2,1. FC Saarbrücken,4,2,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
10,13,2,1963-08-31,1. FC Nürnberg,3-0,Werder Bremen,3,0,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
11,12,2,1963-08-31,Borussia Dortmund,3-3,TSV 1860 München,3,3,1,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
12,9,2,1963-08-31,MSV Duisburg,3-1,Eintracht Frankfurt,3,1,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
13,10,2,1963-08-31,VfB Stuttgart,2-0,Hertha BSC,2,0,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
14,8,2,1963-08-31,Eintracht Braunschweig,1-0,Preussen Münster,1,0,0,0.0,0.0,0.0,0.0,2.8943106317223957,1.8221352174562009
